,Season,assists,avgBreakThrows,avgClearances,avgFouls,avgInterceptions,avgKeyPass,avgPassCenters,avgPassLong,avgPassLongAccuracy,avgPassShorts,avgPassShortsAccuracy,avgPasses,avgPassesAccuracy,avgSaves,avgShotTargets,avgShots,avgTackles,countGames,country,firstMatch,groupName,matchMinutes,playerId,playerName,playerNameEn,playerNum,playerPhoto,playerPhotoShirt,playerPosition,redCards,replaceMatch,scores,season,team,teamId,teamImg,yellowCards
0,2014,,,,,,,,2.8750,0.6957,54.0000,0.9005,56.8750,0.8901,,,,,30,,8,,,1055,李微,,23,,,中场,,0,,,山东鲁能泰山,1001,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/luneng_s.png?Expires=4600490289&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=M8HG%2Feq7hYgDaOortkhw95KSnMo%3D,
1,2014,,,,,,,,4.3704,0.7881,51.2593,0.8887,55.6296,0.8808,,,,,30,,26,,,1188,达维,,10,,,中场,,1,,,广州富力,1005,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/fuli_s.png?Expires=4600490290&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=HAXKoVApmS3fz4ZrPmtND1Lhh5g%3D,
2,2014,,,,,,,,4.7600,0.5210,50.3600,0.8316,55.1200,0.8048,,,,,30,,23,,,1073,周挺,,4,,,后卫,,2,,,北京国安,1002,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/guoan_s.png?Expires=4600490289&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=eL5N4uTUQOyuGh6YAbViWPrmHjA%3D,
3,2014,,,,,,,,7.2000,0.5833,47.1000,0.9130,54.3000,0.8692,,,,,30,,10,,,1076,郎征,,18,,,后卫,,0,,,北京国安,1002,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/guoan_s.png?Expires=4600490289&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=eL5N4uTUQOyuGh6YAbViWPrmHjA%3D,
4,2014,,,,,,,,4.8276,0.6143,48.3793,0.8268,53.2069,0.8075,,,,,30,,28,,,1396,汪嵩,,33,,,中场,,1,,,杭州绿城,1011,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/lvcheng_s.png?Expires=4600490291&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=DgAJylKJUXFSqvVwLNPWc2CHJjM%3D,
5,2014,,,,,,,,4.8621,0.6525,48.2414,0.8914,53.1034,0.8695,,,,,30,,28,,,1423,刘建业,,8,,,中场,,1,,,江苏国信舜天,1012,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/suntian_s.png?Expires=4600490292&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=HQySIVe1I39a8AjMWz%2BF8QdpYbE%3D,
6,2014,,,,,,,,2.5909,0.7895,50.4545,0.8883,53.0455,0.8835,,,,,30,,18,,,1087,河大成,,16,,,中场,,4,,,北京国安,1002,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/guoan_s.png?Expires=4600490289&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=eL5N4uTUQOyuGh6YAbViWPrmHjA%3D,
7,2014,,,,,,,,4.0714,0.5439,48.9286,0.8854,53.0000,0.8592,,,,,30,,27,,,1083,马季奇,,5,,,中场,,1,,,北京国安,1002,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/guoan_s.png?Expires=4600490289&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=eL5N4uTUQOyuGh6YAbViWPrmHjA%3D,
8,2014,,,,,,,,1.0000,1.0000,51.0000,0.8627,52.0000,0.8654,,,,,30,,1,,,1325,王珐,,33,,,中场,,0,,,辽宁盘锦宏运,1009,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/hongyuan_s.png?Expires=4600490291&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=mA17jKqo2KO5RVOAAY5l%2FI4oi%2B4%3D,
9,2014,,,,,,,,4.9000,0.5306,46.9000,0.9083,51.8000,0.8726,,,,,30,,10,,,1080,雷腾龙,,30,,,后卫,,0,,,北京国安,1002,http://csfile.oss-cn-hangzhou.aliyuncs.com/teamlogo/guoan_s.png?Expires=4600490289&OSSAccessKeyId=ZMQayXeY7ZLaB0BH&Signature=eL5N4uTUQOyuGh6YAbViWPrmHjA%3D,
